942.A191.010,CocoRosie,Grey Oceans,[PIAS] Recordings,"LP, Album, Blu",4,2010,2367865,Folk,2011-07-30 18:33:58,,,
"PIASX055DLP, 940.0055.012",Quasimoto,The Further Adventures Of Lord Quas,"[PIAS] Recordings, [PIAS] Recordings",2xLP,5,2005,812941,Hip Hop,2014-03-03 06:55:25,,,
12k2009,Taylor Deupree,Northern,12k,"CD, Album, RE, RM, Ltd",4,2008,1283521,Avantgarde,2010-07-25 03:04:17,,,
LP13-09,Max Richter,Memoryhouse,130701,"2xLP, RM, Album",5,2009,1996780,Classical,2011-10-07 07:03:23,,,
TSR003,Diane Cluck,Oh Vanille/Ova Nil,3 Syllables Records,"LP, Album, 180",3,2010,2599540,Folk,2011-05-09 05:55:01,,,
3024-003,Martyn,Natural Selection (Flying Lotus' Cleanse Mix) / Vancouver (2562's Puur Natuur Dub),3024,"12""",4,2008,1506290,Electronic,2011-07-05 02:01:08,,,
3024-017,Redshape,Throw In Dirt / The Land,3024,"12""",4,2012,3412591,Techno,2012-03-02 14:19:47,Mint (M),Mint (M),
3024005CD,Martyn,Great Lengths,3024,"CD, Album",4,2009,1734508,Electronic,2010-07-18 12:40:27,,,
31R - 002,Nasty Habits,Shadow Boxing / Prototyped,31 Records,"12""",3,1996,1122,"Rave, Jungle & Drum'n'bass",,,,
31R - 005,Optical,Bounce / The End Part I,31 Records,"12""",3,1998,1125,"Rave, Jungle & Drum'n'bass",,,,
AD 3102,Iron And Wine,Walking Far From Home,4AD,"7"", Single",5,2011,2667164,Folk,2011-03-14 05:15:07,,,
DAD 4015CD,Dead Can Dance,Toward The Within,4AD,"CD, Album",4,1994,97843,World,,,,
162-440 431-1,Eric B. Featuring Rakim*,Eric B. Is President / My Melody,4th & Broadway,"12"", RE",4,1990,716083,Hip Hop,,,,
BWAY 4005,Eric B. & Rakim,Paid In Full,4th & Broadway,"LP, Album",5,1987,106617,Hip Hop,,,,
HCL 2293,Afrika Bambaataa & The Soul Sonic Force*,Planet Rock '96,"The Perfect Beat Records, Hot Classics","12"", Maxi",3,1996,24174,Hip Hop,,,,
HNCD 1510,Various,Compounds + Elements: An Introduction To All Saints Records,"All Saints, Hannibal Records","CD, Smplr",4,2006,667335,Ambient,,,,
ALMST05,Mariee Sioux,Gift For The End,almost musique,LP,4,2012,3502073,Folk,2012-04-01 05:38:16,,,
SPVS 302,Joan Baez,5,Amadeo,"LP, Album",3,1964,460367,Folk,2010-06-05 09:45:50,,,
ann002,CiM,Noki Bay EP,Ann Aimee,"LP, EP",3,2003,141692,Electronic,2010-06-05 03:03:09,,,
86839-2,Savath & Savalas,Golden Pollen,Anti-,"CD, Album, Dig",3,2007,1003207,Electronic,2010-08-26 02:11:53,,,
AMB LP 3922,Aphex Twin,Selected Ambient Works 85-92,Apollo,"2xLP, Album",5,1992,32662,Techno,,,,
APOLLO 11,"Fires Of Ork, The",The Fires Of Ork,Apollo,"12""",4,1994,15662,Ambient,,,,
0946 3 82465 2 7,"Beatles, The",Magical Mystery Tour,"Apple Records, Parlophone","CD, Album, Comp, RM, Enh, Dig",5,2009,1925544,Rock,2009-10-05 09:47:25,,,
ART 3RE,Psyche / BFC,ART Three,Applied Rhythmic Technology (ART),"12"", RM, RE",5,2006,744473,Techno,2010-06-05 03:08:21,,,
"ART 7.1, B1214.1",Various,ART 7.1 / B1214.1,"Applied Rhythmic Technology (ART), B12","12""",4,1995,9613,Techno,,,,
ARC04,Brothomstates,Rktic,Arcola,"12""",4,2004,225294,Electronic,,,,
102 327,Tom Browne,Funkin' For Jamaica,Arista,"7"", Single, Blu",4,1980,186538,Funk,,,,
AL 4066,Patti Smith,Horses,Arista,"LP, Album",4,1975,1887750,Rock,2010-06-06 04:09:36,,,
ARILP100,Mad Professor,Anti-Racist Dub Broadcast,Ariwa,"LP, Album",3,1994,937308,Reggae,,,,
Ash 7.1,Geir Jenssen,Cho Oyu 8201m – Field Recordings From Tibet,Ash International,"CD, Album",5,2006,810700,Ambient,2010-08-15 05:31:43,,,
ASW  6175-6,"Future Sound Of London, The",Cascade,Astralwerks,"12""",5,1993,108130,Electronic,,,,
1373,John Coltrane,Olé Coltrane,Atlantic,"LP, Album, RE, Ltd, 180",5,2010,2399436,Jazz,2011-09-02 08:22:47,,,
SD 2-909,"Modern Jazz Quartet, The",The Last Concert,Atlantic,"2xLP, Album, Gat",3,1975,1465081,Jazz,2010-06-03 07:45:10,,,
SD 7203,David Crosby,If I Could Only Remember My Name,Atlantic,"LP, Album, Gat",5,1971,1061544,Folk,,,,
"781 647-1, WX 60",Nu Shooz,Poolside,"Atlantic, Atlantic","LP, Album",3,1986,107802,"Disco, No-Wave & Pop",,,,
"SD-8229, SD 8229","Crosby, Stills & Nash","Crosby, Stills & Nash","Atlantic, Atlantic","LP, Album, Gat",5,1969,1064514,Folk,2010-06-05 09:06:33,,,
8122-72399-2,John Coltrane,Giant Steps,"Atlantic, Rhino Records (2)","CD, Album, RE, RM, Dig",5,1998,523305,Jazz,,,,
81227 3699-2,John Coltrane,Olé Coltrane,"Atlantic, Warner Jazz, Warner Strategic Marketing","CD, Album, RE, RM, Dig",5,2005,1810560,Jazz,2010-04-02 05:02:01,,,
81227 3585-2,Roy Ayers,Virgo Vibes,"Atlantic, Warner Strategic Marketing, Warner Jazz","CD, Album, RE, RM, Dig",4,2002,901369,Jazz,2010-08-10 06:00:33,,,
AC 020,Known Unknown,The Known:Unknown Sessions @ Moving Shadow,Audio Couture,"12""",5,1999,31711,"Rave, Jungle & Drum'n'bass",,,,
BB1800,J.V.C. Force*,Strong Island,B-Boy Records,"12"", RE",5,1997,156234,Hip Hop,,,,
"BB4787, BB 4787 JBM",Boogie Down Productions,Criminal Minded,"B-Boy Records, B-Boy Records","LP, Album",4,1987,176704,Hip Hop,,,,
B1201,Musicology,Musicology,B12,"12""",4,1991,4540,Techno,,,,
B1206,Musicology,Hall Of Mirrors,B12,"12""",4,1992,4544,Techno,,,,
B1215,B12,Practopia,B12,"12"", RM",4,2007,978837,Techno,,,,
B1204,Musicology,Outlook,B12 (2),"12"", Unofficial",5,2006,1204829,Techno,2011-10-14 13:04:17,,,
Bing-004,Windy & Carl,Portal,Ba Da Bing!,"CD, Album",4,1995,176170,Avantgarde,2009-11-08 05:34:22,,,
549 656-1,Fela*,Music Of Fela: Roforofo Fight,Barclay,LP,5,1997,387743,World,,,,
"BAST 0001, Arthur 0004",Various,The Golden Apples Of The Sun,"Bastet, Arthur Magazine","CD, Comp, RE, Ltd",5,2008,1604905,Folk,,,,
BMU 006,Sensurreal,Launch When Ready,Beam Me Up!,"12""",1,1994,53460,Techno,,,,
BMU 011,Speedy J,The Oil Zone,Beam Me Up!,"12""",2,1995,85589,Techno,,,,
BELLA2CD167,Fleet Foxes,Fleet Foxes,Bella Union,"2xCD, Album, Ltd, Gat",5,2009,1647097,Folk,2010-06-02 01:39:39,,,
BELLACD160X,Beach House,Devotion,Bella Union,"CD, Album, Dig",4,2008,1268465,Rock,2010-10-19 02:52:07,,,
BELLACD225X,Beach House,Teen Dream,Bella Union,"CD, Album + DVD-V, NTSC",5,2010,2179535,Rock,2010-09-04 09:28:21,,,
BELLACD283,Fleet Foxes,Helplessness Blues,Bella Union,"CD, Album",5,2011,2854438,Folk,2012-01-03 03:00:38,,,
BELLACD334,Beach House,Bloom,Bella Union,"CD, Album",5,2012,3572666,Rock,2012-06-14 12:47:31,,,
BELLAV238,Beach House,Zebra,Bella Union,"12"", Ltd, Blu",4,2010,2237241,Rock,2010-11-15 03:28:35,,,
"BLR T46, 867 223-1","Orb, The",Perpetual Dawn,"Big Life, Big Life","12""",5,1991,2223,Electronic,,,,
BMI 035 LP,Baby Ford,Headphoneasy Rider,Black Market International,2xLP,3,1997,41110,Techno,2010-06-05 03:12:43,,,
7243 4 97807 2 9,McCoy Tyner,The Real McCoy,Blue Note,"CD, Album, RE, RM",4,1999,1404549,Jazz,2009-10-05 04:23:22,,,
7243 4 99001 2 7,Wayne Shorter,Speak No Evil,Blue Note,"CD, Album, RE, RM",4,1999,246203,Jazz,,,,
BN-1595,Cannonball Adderley,Somethin’ Else,Blue Note,"LP, Album, RE",5,1990,2270379,Jazz,2011-10-15 10:41:02,,,
CDP 7243 8 31876 2 1,Lou Donaldson,The Scorpion (Live At The Cadillac Club),Blue Note,"CD, Album",3,1995,1953748,Jazz,2009-10-05 04:46:00,,,
BF023,Thundercat,The Golden Age Of Apocalypse,Brainfeeder,"LP, Album",5,2011,3079712,Jazz,2011-10-15 10:38:19,,,
USAT 612,Roxanne Shanté,Have A Nice Day!,Breakout,"12""",4,1987,75830,Hip Hop,,,,
BWOOD090CD,Mala (4),Mala In Cuba,Brownswood Recordings,"CD, Album",4,2012,3870023,Electronic,2013-08-09 10:54:52,,,
7243 8 27224 2 7,Mazzy Star,Among My Swan,Capitol Records,"CD, Album",4,1996,1961223,Rock,2010-05-31 06:22:03,,,
SW-11603,Kraftwerk,Trans-Europe Express,Capitol Records,"LP, Album, Pur",4,1977,104933,Electronic,,,,
T 2763,"Stone Poneys, The",Evergreen Vol. 2,Capitol Records,"LP, Album, Mono",4,1967,2251035,Folk,2013-07-11 13:55:14,,,
CR099,Various,I Don't Think The Dirt Belongs To The Grass,Carbon Records,"3xCD, Comp",,2006,850834,Avantgarde,,,,
CAROL 1705-2,Smashing Pumpkins*,Gish,Caroline Records,"CD, Album, RP",3,1991,367853,Rock,,,,
CBS 81775,Weather Report,Heavy Weather,CBS,"LP, Album",4,1977,373362,Jazz,2009-10-05 04:27:11,,,
CBS 86095,Bob Dylan,Slow Train Coming,CBS,"LP, Album",4,1979,414149,Folk,2010-06-05 09:30:54,,,
CBS S 3137,"Earth, Wind & Fire",Shining Star,CBS,"7""",4,1975,950375,Funk,,,,
"CBS 25539, CBS- 25539",Bob Dylan,Infidels,"CBS, CBS","LP, Album",,1983,1201604,Folk,2010-06-05 09:33:35,,,
"CBS 86003, 86003",Bob Dylan,Desire,"CBS, CBS","LP, Album",5,1976,375048,Folk,,,,
"CBSA 3577, A-3577",Herbie Hancock,Rockit,"CBS, CBS","7"", Single",3,1983,347626,"Disco, No-Wave & Pop",2010-04-08 03:55:09,,,
"CBSA 3802, A-3802",Herbie Hancock,Autodrive,"CBS, CBS","7"", Single",3,1983,1447729,"Disco, No-Wave & Pop",2010-04-18 01:49:06,,,
CCRS-5100,Malvina Reynolds,Malvina Reynolds,Century City Records,"LP, Album",5,1971,2850798,Folk,2013-06-16 05:04:23,Near Mint (NM or M-),Near Mint (NM or M-),
CHLT 012,"Push Button Objects with Del The Funky Homosapien*, Mr. Lif, DJ Craze",360°,Chocolate Industries,"12""",5,2000,13968,Hip Hop,,,,
CHLT 015 LP,Various,Rapid Transit,Chocolate Industries,3xLP,3,2000,13969,Hip Hop,,,,
"CHLT 030, CHLT 028",Mos Def • Diverse • Prefuse 73,Wylin Out,"Chocolate Industries, Chocolate Industries","12""",4,2002,57010,Hip Hop,,,,
CDL 1225,Blondie,Eat To The Beat,Chrysalis,"LP, Album",3,1979,160237,"Disco, No-Wave & Pop",,,,
CHR 1166,Blondie,Plastic Letters,Chrysalis,"LP, Album",3,1978,160210,"Disco, No-Wave & Pop",,,,
"105 349, 105 349-100",Ultravox,We Came To Dance,"Chrysalis, Chrysalis","7"", Single",4,1982,542778,"Disco, No-Wave & Pop",2010-04-18 01:51:52,,,
"L 14001, L-14001",Jelly Roll Morton,The Saga Of Mr. Jelly Lord - Vol. I (Jazz Started In New Orleans),"Circle Records (10), Circle Records (10)","LP, Mono, RE",4,1950,2939001,Jazz,2012-11-01 03:35:42,,,
CCCD009-2,Nicolas Jaar,Space Is Only Noise,Circus Company,"CD, Album, RE",,2011,3333831,Electronic,2013-09-29 09:02:06,,,
CLR409,Plaid,Android,Clear,"12""",5,1995,5002,Electronic,,,,
CLR410,Jake Slazenger,Makesaracket,Clear,"2xLP, Album",3,1995,35007,Electronic,2010-06-05 02:55:08,,,
CLR415,Spacepimp,Spacepimp,Clear,"12""",3,1995,5308,Electronic,2010-06-05 02:51:48,,,
C#27,"Other People Place, The ft. Mystic Tribe A.I.",Sunday Night Live At The Laptop Cafe,Clone,"12""",,2002,102606,Electronic,2012-09-08 12:23:20,,,
3-10373,"Earth, Wind & Fire",Getaway,Columbia,"7""",4,1976,482094,Funk,,,,
5C 062-04096,"Pink Floyd, The*",Soundtrack From The Film,Columbia,"LP, Album, RE",5,1975,1328775,Rock,2010-06-05 09:41:10,,,
82876 87606 2,Bob Dylan,Modern Times,Columbia,"CD, Album",3,2006,1520484,Rock,2012-01-02 14:01:01,,,
KC 32210,Weather Report,Sweetnighter,Columbia,"LP, Album",5,1973,481001,Jazz,,,,
KCS 9825,Bob Dylan,Nashville Skyline,Columbia,"LP, Album",4,1969,1486272,Folk,2010-06-05 09:36:50,,,
CK 64935,Miles Davis,Kind Of Blue,"Columbia, Legacy","CD, Album, RE, RM",5,1997,368061,Jazz,,,,
88725457601,Bob Dylan,Tempest,"Columbia, Sony Music","2xLP, Album + CD, Album",5,2012,3852741,Rock,2012-09-21 12:45:51,,,
compost 031-1,Funkstörung,Funkentstört,Compost Records,"12"", EP",4,1997,300,Electronic,,,,
COMPOST 045-1,Funkstörung,Sonderdienste,Compost Records,"12""",3,1997,301,Electronic,,,,
VVR1051102,Spiritualized+*,Songs In A&E,Cooperative Music,"CD, Album",5,2008,1353386,Rock,2011-11-07 03:22:42,,,
CTI 6029,Deodato*,Deodato 2,CTI Records,"LP, Album, Gat",4,1973,434225,Funk,,,,
CTI 6057 S1,Bob James,Two,CTI Records,"LP, Album, RE",4,2009,1699781,Funk,2010-06-06 05:37:38,,,
CR-200,Hashim,Al-Naafiysh (The Soul),Cutting Records,"12""",5,1983,19723,Electronic,,,,
DR2000,Larry Groce,The Wheat Lies Low,Daybreak Records,"LP, Album",,1971,3865891,Folk,2013-08-18 08:55:27,,,
DE-2003,Kool & The Gang,Kool And The Gang,De-Lite Records,"LP, Album",5,1970,531609,Funk,,,,
DEDCD 034,Spiritualized®*,Ladies And Gentlemen We Are Floating In Space,Dedicated,"CD, Album + Box, Ltd",5,1997,1346994,Rock,2011-11-07 03:25:15,,,
SPIRT 002T,Spiritualized,Run / I Want You,Dedicated,"12"", W/Lbl, Promo",3,1991,1901266,Rock,2010-06-06 04:13:34,,,
CDDELAY01,Various,Folk Is Not A Four Letter Word,Delay 68 Records,"CD, Comp",5,2005,407181,Folk,,,,
DVNT12CD,Orb*,Auntie Aubrey's Excursions Beyond The Call Of Duty: The Orb Remix Project,Deviant Records,"2xCD, Comp, Mono, Mixed",3,1996,13937,Electronic,,,,
"50999 208110 2 0, 5099920811020",Hercules And Love Affair*,Hercules And Love Affair,"DFA, DFA","CD, Album",4,2008,1266361,"Disco, No-Wave & Pop",2010-06-13 06:27:49,,,
DS82,"Autechre & Hafler Trio, The",æo³ & ³hæ,Die Stadt,"2xCD, Album, Ltd",4,2005,485665,Avantgarde,,,,
arovane 2,Arovane,Icol Diston,DIN,"12""",5,1998,3130,Electronic,,,,
"dub24, DUB#24",Kettel,Cenny,"Djak-Up-Bitch (DUB), Djak-Up-Bitch (DUB)","12"", Ltd",3,2002,46535,Electronic,,,,
RUG167,Four Tet,As Serious As Your Life,Domino,"7""",3,2003,198658,Electronic,2011-04-15 02:36:30,,,
RUG295T,Four Tet,Ringer,Domino,"2x12"", MiniAlbum",4,2008,1327615,Electronic,2011-07-05 02:00:23,,,
RUG341T,Animal Collective,Fall Be Kind,Domino,"12"", EP, 180",5,2009,2058642,Rock,2010-07-25 09:47:58,,,
wigCD126,Four Tet,Rounds,Domino,"CD, Album",5,2003,843752,Electronic,2010-02-19 04:55:26,,,
WIGCD216,Animal Collective,Merriweather Post Pavilion,Domino,"CD, Album",5,2009,1603744,Rock,2009-09-07 04:11:59,,,
WIGCD274,Animal Collective,Centipede Hz,Domino,"CD, Album, Ltd",4,2012,3839571,Rock,2012-09-08 12:24:23,,,
WIGLP250,Pavement,Quarantine The Past,Domino,"2xLP, Comp, RM",4,2010,2192948,Rock,2011-07-28 03:14:47,,,
"9673542, 6990402",Dirty Projectors,Bitte Orca,"Domino, Domino","2xCD, Album, Ltd, Exp",4,2009,2089361,Rock,2010-03-05 02:25:39,,,
"RUG295CDP, DNO 183 P",Four Tet,Ringer,"Domino, Domino","CD, MiniAlbum, Promo",3,2008,1296720,Electronic,2010-02-19 04:54:04,,,
DNO 229,Four Tet,There Is Love In You,Domino USA,"CD, Album",5,2010,2124450,Electronic,2010-02-19 04:54:18,,,
DNO156,Animal Collective,Strawberry Jam,Domino USA,"CD, Album",5,2007,1081404,Rock,2011-02-17 04:15:08,,,
DDRAG13,Gang Related \ Mask*,Dictation,Dope Dragon,"12""",3,1996,42218,"Rave, Jungle & Drum'n'bass",,,,
DS045LPS,Spiritualized,"Sweet Heart, Sweet Light","Double Six Recordings, Double Six Recordings",2xLP,4,2012,3557480,Rock,2012-04-27 05:13:20,Mint (M),Mint (M),
SD 785,Eric Dolphy,Iron Man,Douglas,"LP, Album",5,1969,1013337,Jazz,,,,
DC263CD,Joanna Newsom,The Milk-Eyed Mender,Drag City,"CD, Album",5,2004,390999,Folk,,,,
DC303CD,Joanna Newsom,Ys,Drag City,"CD, Album",5,2006,827807,Folk,,,,
DC390CD,Joanna Newsom,Have One On Me,Drag City,"3xCD, Album + Box",5,2010,2148029,Folk,2011-10-17 01:10:20,,,
823 162-1,Harold Budd / Brian Eno With Daniel Lanois,The Pearl,"Editions EG, EG, Polydor","LP, Album",5,1984,972594,Ambient,2011-07-07 08:55:04,,,
eMEGO 104X,Oneohtrix Point Never,Antony | Fennesz : Returnal,Editions Mego,"7""",4,2010,2377870,Electronic,2011-07-29 04:11:38,,,
EGCD 53,Brian Eno With Daniel Lanois & Roger Eno,Apollo - Atmospheres & Soundtracks,EG,"CD, Album",5,1986,28741,Ambient,,,,
"AMB 001, 2310647",Brian Eno,Ambient 1 (Music For Airports),"EG, Polydor","LP, Album",5,1978,125776,Ambient,2010-08-21 04:07:28,,,
7559-64795-7,Del Tha Funkee Homosapien,Mistadobalina,Elektra,"7""",3,1992,222209,Hip Hop,,,,
EKS-74018,Tom Rush,The Circle Game,Elektra,"LP, Album",4,1968,1610807,Folk,2013-08-09 11:00:25,,,
NR 5057,Jimi Hendrix,Original Sound Track 'Experience',Ember Records,"LP, Album, Gat",5,1971,863307,Rock,,,,
"EMC 3312, F 11",Various,Fast Product - The First Year Plan,"EMI, Fast Product","LP, Comp",4,1979,446257,Rock,,,,
7243 8 87984 6 4,Kraftwerk,Expo2000,"EMI Electrola, Kling Klang","12""",4,1999,102992,Electronic,,,,
EMFLP 001,Various,Tech Steppin,Emotif Recordings,"2x12"", Comp",4,1996,89920,"Rave, Jungle & Drum'n'bass",,,,
EWLP I,Loren Connors*,Hell's Kitchen Park,Enabling Works,"LP, Album",4,2010,2296457,Avantgarde,2010-07-02 05:02:26,,,
EWLP II,Loren Connors*,Moonyean,Enabling Works,"LP, Album",5,2011,2662499,Avantgarde,2011-01-31 05:54:26,,,
EWLP III,Randy Burns (2),Evening Of The Magician,Enabling Works,"LP, Album, RE",4,2011,3018771,Folk,2011-10-16 04:00:49,,,
